Datum;Datum1;BundeslandID;Bevölkerung;Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100
13.01.2021;2021-01-13T23:59:59+01:00;4;1517477;Oberösterreich;9220;0.607587462610636;22460;1.4800883308280801
13.01.2021;2021-01-13T23:59:59+01:00;5;566751;Salzburg;4610;0.813408357462095;10620;1.87383877575867
13.01.2021;2021-01-13T23:59:59+01:00;6;1260417;Steiermark;9800;0.77752045553178;29870;2.36985061293207
13.01.2021;2021-01-13T23:59:59+01:00;7;768443;Tirol;7085;0.9219942142748392;12170;1.58372188958713
13.01.2021;2021-01-13T23:59:59+01:00;8;404415;Vorarlberg;7415;1.8335126046264398;10330;2.55430683827257
13.01.2021;2021-01-13T23:59:59+01:00;9;1962779;Wien;11850;0.603735825581994;37615;1.91641544972715
13.01.2021;2021-01-13T23:59:59+01:00;10;9061848;Österreich;72827;0.803666095480745;162515;1.7933979912265101
14.01.2021;2021-01-14T23:59:59+01:00;0;;Bundesverwaltung;0;;0;
14.01.2021;2021-01-14T23:59:59+01:00;1;300457;Burgenland;3095;1.03009748483144;5370;1.78727738078993
14.01.2021;2021-01-14T23:59:59+01:00;2;567644;Kärnten;6310;1.11161220765127;10105;1.7801650330136498
14.01.2021;2021-01-14T23:59:59+01:00;3;1713465;Niederösterreich;14992;0.8749522167070821;25475;1.4867534498808
14.01.2021;2021-01-14T23:59:59+01:00;4;1517477;Oberösterreich;9575;0.630981556886859;24380;1.6066141364910302
14.01.2021;2021-01-14T23:59:59+01:00;5;566751;Salzburg;5865;1.03484599056729;10915;1.9258898528630701
14.01.2021;2021-01-14T23:59:59+01:00;6;1260417;Steiermark;13465;1.06829723813627;29740;2.35953656607297
14.01.2021;2021-01-14T23:59:59+01:00;7;768443;Tirol;8080;1.05147681740871;12540;1.6318711992951997
14.01.2021;2021-01-14T23:59:59+01:00;8;404415;Vorarlberg;8725;2.15743728595626;10360;2.56172496074577
14.01.2021;2021-01-14T23:59:59+01:00;9;1962779;Wien;13315;0.678374896002046;39020;1.9879976298910902
14.01.2021;2021-01-14T23:59:59+01:00;10;9061848;Österreich;83422;0.920584852008111;167220;1.84531896805155
15.01.2021;2021-01-15T23:59:59+01:00;0;;Bundesverwaltung;0;;0;
15.01.2021;2021-01-15T23:59:59+01:00;1;300457;Burgenland;3095;1.03009748483144;5370;1.78727738078993
15.01.2021;2021-01-15T23:59:59+01:00;2;567644;Kärnten;7810;1.3758623362529998;10465;1.84358506387806
15.01.2021;2021-01-15T23:59:59+01:00;3;1713465;Niederösterreich;15212;0.887791696941577;27214;1.5882437050071103
15.01.2021;2021-01-15T23:59:59+01:00;4;1517477;Oberösterreich;9675;0.6375714425984711;35622;2.34744908819046
15.01.2021;2021-01-15T23:59:59+01:00;5;566751;Salzburg;6205;1.0948370624842299;10915;1.9258898528630701
15.01.2021;2021-01-15T23:59:59+01:00;6;1260417;Steiermark;13815;1.0960658258338298;29635;2.35120598976371
15.01.2021;2021-01-15T23:59:59+01:00;7;768443;Tirol;8305;1.0807568030419998;13198;1.71749889061388
15.01.2021;2021-01-15T23:59:59+01:00;8;404415;Vorarlberg;8915;2.20441872828654;10360;2.56172496074577
15.01.2021;2021-01-15T23:59:59+01:00;9;1962779;Wien;13315;0.678374896002046;40232;2.04974681306454
15.01.2021;2021-01-15T23:59:59+01:00;10;9061848;Österreich;86347;0.9528630363254821;182326;2.01201785772615
16.01.2021;2021-01-16T23:59:59+01:00;0;;Bundesverwaltung;0;;0;
16.01.2021;2021-01-16T23:59:59+01:00;1;300457;Burgenland;3450;1.14825083123375;5370;1.78727738078993
16.01.2021;2021-01-16T23:59:59+01:00;2;567644;Kärnten;7810;1.3758623362529998;10465;1.84358506387806
16.01.2021;2021-01-16T23:59:59+01:00;3;1713465;Niederösterreich;15937;0.9301036204416201;27214;1.5882437050071103
16.01.2021;2021-01-16T23:59:59+01:00;4;1517477;Oberösterreich;10725;0.706765242570398;35214;2.3205623544870897
16.01.2021;2021-01-16T23:59:59+01:00;5;566751;Salzburg;6585;1.1618859075678702;10915;1.9258898528630701
16.01.2021;2021-01-16T23:59:59+01:00;6;1260417;Steiermark;14510;1.15120630711899;29635;2.35120598976371
16.01.2021;2021-01-16T23:59:59+01:00;7;768443;Tirol;8305;1.0807568030419998;13198;1.71749889061388
16.01.2021;2021-01-16T23:59:59+01:00;8;404415;Vorarlberg;9425;2.33052681033097;10438;2.5810120791760895
16.01.2021;2021-01-16T23:59:59+01:00;9;1962779;Wien;25195;1.2836391667121;40207;2.04847310879116
16.01.2021;2021-01-16T23:59:59+01:00;10;9061848;Österreich;101942;1.12495817630135;181971;2.00810033450131
17.01.2021;2021-01-17T23:59:59+01:00;0;;Bundesverwaltung;0;;0;
17.01.2021;2021-01-17T23:59:59+01:00;1;300457;Burgenland;3450;1.14825083123375;5370;1.78727738078993
17.01.2021;2021-01-17T23:59:59+01:00;2;567644;Kärnten;7810;1.3758623362529998;10465;1.84358506387806
17.01.2021;2021-01-17T23:59:59+01:00;3;1713465;Niederösterreich;15937;0.9301036204416201;27214;1.5882437050071103
17.01.2021;2021-01-17T23:59:59+01:00;4;1517477;Oberösterreich;10725;0.706765242570398;36954;2.43522636586914
17.01.2021;2021-01-17T23:59:59+01:00;5;566751;Salzburg;6585;1.1618859075678702;10915;1.9258898528630701
17.01.2021;2021-01-17T23:59:59+01:00;6;1260417;Steiermark;14510;1.15120630711899;29635;2.35120598976371
17.01.2021;2021-01-17T23:59:59+01:00;7;768443;Tirol;8305;1.0807568030419998;13198;1.71749889061388
17.01.2021;2021-01-17T23:59:59+01:00;8;404415;Vorarlberg;9425;2.33052681033097;10438;2.5810120791760895
17.01.2021;2021-01-17T23:59:59+01:00;9;1962779;Wien;25195;1.2836391667121;40207;2.04847310879116
17.01.2021;2021-01-17T23:59:59+01:00;10;9061848;Österreich;101942;1.12495817630135;183711;2.02730171594138
18.01.2021;2021-01-18T23:59:59+01:00;0;;Bundesverwaltung;0;;0;
18.01.2021;2021-01-18T23:59:59+01:00;1;300457;Burgenland;4125;1.3729086025621;5898;1.96300968191788
18.01.2021;2021-01-18T23:59:59+01:00;2;567644;Kärnten;10050;1.77047586163159;10465;1.84358506387806
18.01.2021;2021-01-18T23:59:59+01:00;3;1713465;Niederösterreich;20745;1.21070462483914;27262;1.5910450461491799
18.01.2021;2021-01-18T23:59:59+01:00;4;1517477;Oberösterreich;19781;1.30354529261399;35622;2.34744908819046
18.01.2021;2021-01-18T23:59:59+01:00;5;566751;Salzburg;8635;1.52359678236121;10915;1.9258898528630701
18.01.2021;2021-01-18T23:59:59+01:00;6;1260417;Steiermark;22615;1.7942474593725701;29683;2.35501425321937
18.01.2021;2021-01-18T23:59:59+01:00;7;768443;Tirol;11788;1.53401098064528;13198;1.71749889061388
18.01.2021;2021-01-18T23:59:59+01:00;8;404415;Vorarlberg;9765;2.41459886502726;10438;2.5810120791760895
18.01.2021;2021-01-18T23:59:59+01:00;9;1962779;Wien;32190;1.64002162240374;41893;2.13437172498789
18.01.2021;2021-01-18T23:59:59+01:00;10;9061848;Österreich;139694;1.54156194189088;184689;2.03809421654391
19.01.2021;2021-01-19T23:59:59+01:00;0;;Bundesverwaltung;0;;0;
19.01.2021;2021-01-19T23:59:59+01:00;1;300457;Burgenland;4410;1.46776410601184;5898;1.96300968191788
19.01.2021;2021-01-19T23:59:59+01:00;2;567644;Kärnten;10050;1.77047586163159;12985;2.2875252799289703
19.01.2021;2021-01-19T23:59:59+01:00;3;1713465;Niederösterreich;23797;1.3888232324558702;27262;1.5910450461491799
19.01.2021;2021-01-19T23:59:59+01:00;4;1517477;Oberösterreich;20269;1.33570393488666;36258;2.3893607613163197
19.01.2021;2021-01-19T23:59:59+01:00;5;566751;Salzburg;9445;1.66651668898687;12235;2.15879636736415
19.01.2021;2021-01-19T23:59:59+01:00;6;1260417;Steiermark;24735;1.9624457619978202;29638;2.35144400622968
19.01.2021;2021-01-19T23:59:59+01:00;7;768443;Tirol;12408;1.61469360772367;13498;1.7565388714582602
19.01.2021;2021-01-19T23:59:59+01:00;8;404415;Vorarlberg;9895;2.44674406241114;10438;2.5810120791760895
19.01.2021;2021-01-19T23:59:59+01:00;9;1962779;Wien;35411;1.8041256809859898;45949;2.34101750630102
19.01.2021;2021-01-19T23:59:59+01:00;10;9061848;Österreich;150420;1.6599263196646001;193476;2.1350611928163
20.01.2021;2021-01-20T23:59:59+01:00;0;;Bundesverwaltung;0;;0;
20.01.2021;2021-01-20T23:59:59+01:00;1;300457;Burgenland;4725;1.5726043992984;5898;1.96300968191788
20.01.2021;2021-01-20T23:59:59+01:00;2;567644;Kärnten;10050;1.77047586163159;12985;2.2875252799289703
20.01.2021;2021-01-20T23:59:59+01:00;3;1713465;Niederösterreich;24723;1.44286577198834;27298;1.59314605200573
20.01.2021;2021-01-20T23:59:59+01:00;4;1517477;Oberösterreich;26076;1.71837859815997;35834;2.36141964589908
20.01.2021;2021-01-20T23:59:59+01:00;5;566751;Salzburg;10050;1.7732655081331998;14166;2.4995103669865597
20.01.2021;2021-01-20T23:59:59+01:00;6;1260417;Steiermark;25445;2.0187763256128703;33269;2.63952326888641
20.01.2021;2021-01-20T23:59:59+01:00;7;768443;Tirol;12408;1.61469360772367;13498;1.7565388714582602
20.01.2021;2021-01-20T23:59:59+01:00;8;404415;Vorarlberg;9970;2.46528936859414;10438;2.5810120791760895
20.01.2021;2021-01-20T23:59:59+01:00;9;1962779;Wien;38235;1.94800331570696;49465;2.52015127530914
20.01.2021;2021-01-20T23:59:59+01:00;10;9061848;Österreich;161682;1.78420560574399;202166;2.23095774724979
21.01.2021;2021-01-21T23:59:59+01:00;0;;Bundesverwaltung;0;;0;
21.01.2021;2021-01-21T23:59:59+01:00;1;300457;Burgenland;4851;1.6145405166130302;5946;1.97898534565678
21.01.2021;2021-01-21T23:59:59+01:00;2;567644;Kärnten;10050;1.77047586163159;14089;2.48201337457984
21.01.2021;2021-01-21T23:59:59+01:00;3;1713465;Niederösterreich;24980;1.45786461935318;30628;1.78748909373696
21.01.2021;2021-01-21T23:59:59+01:00;4;1517477;Oberösterreich;26657;1.7566658341444399;36920;2.4329858047271897
21.01.2021;2021-01-21T23:59:59+01:00;5;566751;Salzburg;10115;1.7847343895290901;14166;2.4995103669865597
21.01.2021;2021-01-21T23:59:59+01:00;6;1260417;Steiermark;25968;2.06027052951523;33269;2.63952326888641
