date;date1;state_id;state_name;age_group;gender;vaccine;dose_number;doses_administered_cumulative
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;65-74;NonBinary;AstraZeneca;5+;0
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;65-74;NotAssigned;AstraZeneca;5+;0
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;75-84;Female;AstraZeneca;5+;0
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;75-84;Male;AstraZeneca;5+;0
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;75-84;NonBinary;AstraZeneca;5+;0
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;75-84;NotAssigned;AstraZeneca;5+;0
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;85+;Female;AstraZeneca;5+;0
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;85+;Male;AstraZeneca;5+;0
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;85+;NonBinary;AstraZeneca;5+;0
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;85+;NotAssigned;AstraZeneca;5+;0
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;NotAssigned;Female;AstraZeneca;5+;0
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;NotAssigned;Male;AstraZeneca;5+;0
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;NotAssigned;NonBinary;AstraZeneca;5+;0
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;NotAssigned;NotAssigned;AstraZeneca;5+;0
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;00-11;Female;BioNTechPfizer;1;642
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;00-11;Male;BioNTechPfizer;1;680
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;00-11;NonBinary;BioNTechPfizer;1;0
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;00-11;NotAssigned;BioNTechPfizer;1;0
12.10.2022;2022-10-12T23:59:59+02:00;0;NoState;Dez.14;Female;BioNTechPfizer;1;620
